"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Libya","LBY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5170","5160","5140","6860","8600","10400","12200","12090","12380","4690","11550","10750","7610","5690","4550","5410","6400","",
"St. Lucia","LCA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1060","1190","1400","1470","1530","1670","1840","2240","2520","2960","3170","3300","3400","3890","3900","3980","4110","4280","4210","4350","4550","4640","4400","4420","4730","5280","5480","6460","6860","7370","7430","7430","8030","8070","8070","7840","7850","8490","9060","9560","",
"Latin America & Caribbean","LCN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","489.48241406026","501.057878797441","537.167225053981","572.239257520406","608.528224646424","667.078816032642","734.729828835649","898.161093179168","1134.57779845049","1307.42204988792","1373.12408425207","1415.3986058853","1545.36963448814","1817.73815773963","2137.29875037836","2304.76908149087","2183.3394821766","1921.72762994818","1831.95187537271","1801.42646866074","1874.06043348419","2009.07994300731","2133.31562661323","2239.56025342996","2340.8816405935","2697.58390095092","2987.83771727303","3216.7512115088","3449.87376377506","3681.0128836456","3986.41290105449","4272.36363125826","4252.92119244142","4056.08060037812","4150.96978975312","4032.95603889624","3778.90609443567","3768.86302520381","4088.53718408884","4578.68197721353","5272.04546499212","6149.24094741133","7087.33082276958","7254.13670954433","8041.96601678027","8862.5247914419","9793.06848235462","10191.3111455327","10070.778794669","9250.56308209383","8534.66160703673","8393.28997479292","8718.56479437343","",
"Least developed countries: UN classification","LDC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","235.079064272765","265.28235486546","309.100629952857","327.27281796362","330.420921176641","317.34605577883","313.042823343288","285.034036229094","272.403416585982","248.863910061941","260.906367275596","272.399269115339","286.67596305683","286.403906958651","287.779441603699","295.781969900526","298.074342744432","307.461989320875","328.681279157245","377.811825405354","430.274274881426","479.76151313429","548.844459260913","641.434499141717","706.242788097436","764.227984141446","811.303591352888","891.630117431971","940.768491668922","1008.77005213348","1011.69838557027","1011.21591174897","1045.30036890125","1079.75519870314","",
"Low income","LIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299.626586998429","298.372212013079","291.717719465311","275.178373532525","240.240965911605","234.885294227537","239.07230593764","248.823817335049","255.063899352402","257.598011579817","269.014973606398","275.293828929323","284.138250622709","295.53170026956","334.407658977956","371.208603207935","404.773872064403","451.373943091792","520.724352134387","580.388398187816","625.873279771286","643.716098669163","696.773124512662","756.378862626748","798.779313970381","792.397489266208","783.216016613334","790.98822002352","840.563512086065","",
"Liechtenstein","LIE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","5120","6500","8210","10150","11190","12370","14760","18510","22610","22610","20320","18770","19010","19730","22860","31170","41500","43620","45480","47580","54350","56710","61990","70060","78590","80150","77640","78650","78870","68240","65060","68450","78680","92730","104070","112190","121890","116430","","","","","","","","","","",
"Sri Lanka","LKA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","130","130","130","150","170","160","170","170","170","180","210","250","270","260","260","240","260","280","300","310","310","330","370","410","430","460","440","460","490","550","600","640","690","740","800","820","840","870","830","840","940","1060","1210","1360","1550","1790","2010","2410","2850","3360","3490","3640","3760","3810","3880","4060","",
"Lower middle income","LMC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","120.420083784349","120.016736626939","129.625937554904","140.429164967306","146.726298067761","154.015445058595","176.163293717225","214.442802539142","251.080826698205","264.449258853127","279.328129513569","307.810039782901","344.98260132585","409.010532206512","454.640369220465","467.10803264272","459.740767176856","433.572050113826","426.479947880005","439.339927785937","475.96780066317","508.619666058081","499.294860506146","492.194352314911","472.625175920424","473.859019945164","459.547846718689","475.205282477287","512.345566185167","558.402180451753","575.443087945044","533.686515412738","538.231241376657","546.220099187673","567.804490603273","581.684480585094","640.070159966313","743.933589867802","846.376631864965","956.729068091142","1110.26801392938","1277.27974798831","1388.38532540543","1523.83426635906","1679.29654652019","1870.91024854146","1973.44327347366","2037.99477971696","2034.35098531372","2055.0726957304","2104.05032273811","2242.06143569053","",
"Low & middle income","LMY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","171.337741780837","171.534091026005","176.327921217249","191.785384463387","207.609126007276","219.449701305014","237.151400237371","284.211192359171","352.136315846409","416.777322902315","438.270819543176","456.893663549411","491.240743794757","564.886830294712","647.347966368715","698.705553820868","694.962164315387","656.341753833632","642.367860092707","653.317865950479","684.498819020775","734.500104136206","772.511229363251","773.245040532537","806.185910894592","854.48670947153","892.026083042318","913.056560084307","942.746933964065","1010.18548078371","1098.88787958309","1163.83594114805","1125.10171456946","1104.79015366035","1144.85251950523","1153.38659548952","1170.65965280543","1271.51430065506","1475.89372884548","1716.96495173856","1991.7255559597","2356.76296225234","2777.49546720864","2987.96019669049","3332.15959505132","3699.27539439025","4188.0191957885","4525.71405419545","4678.99499192697","4557.24194481627","4466.16985555011","4533.54079291476","4843.8390807467","",
"Lesotho","LSO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","80","80","80","80","90","90","100","150","220","230","280","310","340","400","440","510","610","540","490","410","390","420","500","520","550","580","650","660","680","690","700","690","620","610","580","640","590","670","810","1020","1130","1300","1310","1230","1300","1440","1610","1560","1450","1350","1320","1250","1390","",
"Late-demographic dividend","LTE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","195.758777875027","191.97081177369","196.760793181623","218.414251664156","242.957589165759","259.100966152712","284.161773898652","346.481369964161","415.241512375469","473.848177540667","482.440112300365","516.710105079073","564.013183508456","650.066714222885","732.012732631472","747.233798353078","725.239143678247","674.888799336125","690.304820232077","719.38461776324","784.321136637945","857.046455356791","933.773267022939","1006.7711305372","1031.37504513967","1153.04425469911","1171.16504127744","1186.79148862218","1221.59999958496","1381.94032598118","1566.26241589565","1703.01746588912","1650.57411013911","1587.38455842513","1633.18048442453","1644.22097547977","1721.0132403801","1916.33438990298","2274.57819577157","2688.46874784251","3187.109526061","3876.58535622233","4699.47250263047","5129.8516716242","5768.88934482027","6498.27240107919","7472.75068849473","8273.50714315435","8669.50083171189","8489.00875832877","8326.8449704705","8499.1084224362","9259.09260665759","",
"Lithuania","LTU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2600","2860","2980","3210","3460","3830","4700","6040","7600","8820","10620","12660","12430","12560","13290","14070","15300","16040","15170","14870","15240","17430","",
"Luxembourg","LUX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1630","1680","1870","1920","2020","2070","2240","2560","3030","3350","4070","5230","6890","7930","8510","9080","10650","12940","15480","15490","14930","13490","13060","13130","15610","20090","26020","28700","31500","35370","39210","40270","41570","46020","48610","50650","47100","46470","46460","45630","42630","46000","62800","73810","71580","86210","88000","71220","78220","76260","75450","75500","76470","72470","68670","66380","70870","",
"Latvia","LVA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2710","2860","2980","3310","3590","3920","4660","5810","7350","8880","11160","13440","14040","12580","13110","13810","14890","15300","15010","14600","14710","16510","",
"Macao SAR, China","MAC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","4770","4600","5220","6510","7490","8080","8970","9990","12570","14300","16030","17430","17500","17330","15700","14650","14710","15750","16330","17870","22250","24020","26320","34580","34360","36530","45580","54870","61240","70560","74210","64350","65290","72690","79110","",
"St. Martin (French part)","MAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","220","240","250","270","290","350","440","540","580","600","650","780","980","960","940","790","730","680","770","860","1080","1110","1160","1240","1270","1230","1350","1300","1510","1460","1460","1410","1390","1400","1370","1540","1830","2070","2240","2380","2700","2880","2930","3000","2980","3090","3060","3020","2890","2870","3090","",
"Monaco","MCO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","470","410","380","400","460","570","730","890","1030","1160","1500","1570","1910","2190","2520","2910","3010","2630","2510","2590","2980","",
"Madagascar","MDG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","130","130","140","140","150","160","170","170","180","180","190","210","260","310","300","310","310","390","460","430","390","360","320","300","290","280","260","230","240","220","230","240","240","230","240","250","250","240","250","260","230","280","290","290","280","340","430","470","470","480","500","520","520","490","470","470","510","",
"Maldives","MDV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760","1860","1980","2070","2240","2620","3400","3770","3460","4540","4480","5410","5460","5960","6600","6630","6800","7320","7650","8070","8510","9280","",
"Middle East & North Africa","MEA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2466.70375448225","2651.72219730033","2778.14758024037","2788.70088628019","2742.51840764493","2878.58701714412","2969.0808623356","2958.36444971701","3214.50131110402","3650.63907388853","4157.5162890199","4731.88129732988","5454.0596327912","6342.50534465033","6531.45742330598","6951.1895319497","7358.69259375694","8291.06987196881","8775.65315199807","8755.56356188742","8109.47481430184","7734.87443516573","7300.72079255991","7693.2017302717","",
"Mexico","MEX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","360","390","440","480","510","560","610","640","680","730","820","990","1210","1460","1540","1480","1590","1890","2560","3270","3000","2400","2200","2270","2080","2040","2090","2370","2790","3250","3770","4490","5310","4790","4620","4660","5000","5510","6210","6740","7100","7360","7820","8050","8690","9250","9780","8820","9040","9310","10050","10270","10510","10170","9400","8930","9180","",
"Marshall Islands","MHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3070","2690","2590","2690","2830","2960","3110","3100","3130","3300","3460","3380","3510","3390","3480","3600","3600","3510","3900","4070","4310","4280","4460","4860","",
"Middle income","MIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","178.764868062948","178.761088590977","183.785872224597","199.998069531848","216.816410519668","229.21842410544","247.563275843884","297.302978410414","368.312427255597","435.646524218808","458.134260200689","477.946448567685","513.818741984231","591.046846490365","677.070438229598","731.328815968043","728.049441849195","687.936728014468","673.7747398678","685.415448051269","718.67113786219","771.73950117647","811.858584404235","814.414686156815","850.521595407407","903.408348025664","945.026624690338","969.69357465718","1005.22147195379","1079.83516290723","1176.93399280926","1247.86592951236","1206.15760221427","1184.83606256397","1228.78599888159","1238.84091033892","1258.33473421263","1369.40885247006","1592.13315133826","1856.00629444569","2158.04974755056","2559.41078570287","3021.23655329694","3252.82474391845","3633.88129878943","4043.53938107132","4586.00312658655","4961.24645003269","5133.8680617225","5005.40263970941","4911.38229597648","4992.79183681339","5342.86691119489","",
"North Macedonia","MKD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1460","1400","1790","2190","2210","2010","1910","1910","1820","1820","2090","2560","2990","3310","3580","4330","4610","4700","4810","4740","5000","5200","5110","4980","4890","5450","",
"Mali","MLI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","60","60","70","80","90","100","120","140","160","170","220","250","240","200","170","160","180","200","240","290","290","290","320","330","320","280","270","270","280","280","290","280","300","290","350","400","460","500","540","610","670","690","730","730","780","810","790","780","770","840","",
"Malta","MLT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1090","1260","1560","1990","2120","2320","2660","3300","4280","4670","4550","3940","3830","3690","4000","4930","6260","6910","7600","7940","8720","8570","8600","8990","9490","9890","9810","10510","10920","11160","11380","12510","14300","15660","16310","17720","19950","19520","20540","21420","21650","22680","24240","24700","23590","23840","26480","",
"Myanmar","MMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","180","220","270","290","350","470","640","850","1010","1130","1220","1230","1200","1200","1200","1310","",
"Middle East & North Africa (excluding high income)","MNA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1247.9471530291","1384.92986521623","1474.06456286916","1517.58997990545","1522.57316988989","1576.15886471433","1606.25766265862","1613.04832875349","1728.704637986","1912.52515470961","2165.97528566617","2440.77419395594","2854.44906759315","3361.56047484774","3667.9725947927","3983.02051712615","4091.96543998787","4581.82025369886","4752.84894007256","4627.91449668098","4191.58950515082","4124.71237584321","3886.78011172482","","",
"Montenegro","MNE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1970","2440","3100","3660","4320","5120","6470","6740","6920","7250","7000","7330","7320","7250","7090","7400","8430","",
"Mongolia","MNG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","1440","1320","1230","1350","1520","1690","1590","1430","1200","810","510","430","460","550","580","520","480","470","480","530","610","760","900","1120","1410","1800","1790","2000","2590","3650","4330","4210","3820","3500","3230","3660","",
"Northern Mariana Islands","MNP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","190","190","220","260","310","340","320","310","280","320","350","390","420","450","500","540","520","550","600","670","690","640","530","470","460","",
"Mauritania","MRT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","190","180","190","190","190","230","320","340","350","360","380","430","470","480","440","420","400","380","400","440","490","510","480","540","610","640","580","600","660","590","570","580","530","480","490","530","620","720","870","960","1090","1120","1170","1240","1360","1450","1390","1260","1150","1110","1160","",
"Mauritius","MUS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","1010","1220","1240","1280","1190","1070","1030","1060","1250","1620","2060","2220","2430","2620","2990","3120","3230","3470","3780","3900","3780","3660","3900","3970","3960","4410","5170","5600","5930","6490","7400","7800","8080","8400","9550","10520","10820","10700","10640","11000","12050","",
"Malawi","MWI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","50","50","50","50","60","60","60","60","60","70","80","90","110","130","130","130","150","170","190","190","180","170","170","160","150","150","160","160","180","210","200","220","160","160","170","200","200","180","160","140","170","220","300","300","310","330","370","410","450","490","460","410","370","350","340","340","360","",
"Malaysia","MYS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","240","250","270","300","320","330","340","350","370","390","440","570","750","860","920","970","1130","1450","1790","1930","1860","1810","1950","1920","1860","1960","2140","2260","2400","2560","2880","3230","3600","4050","4500","4620","3640","3380","3460","3550","3790","4160","4740","5270","5840","6630","7510","7600","8260","9050","10180","10840","11140","10680","10150","9940","10590","",
"North America","NAC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","3222.40892090236","3351.74971689369","3539.70081557783","3801.58186478971","4108.9288230088","4279.20549497638","4642.5482940904","4962.3795956668","5119.1082161015","5503.51138271586","6157.17294206308","7171.28798408945","7908.81075352972","8462.13514144261","8945.62494349972","9549.41104604645","10666.3469881298","12047.0982073706","13214.2382598345","14172.2458079803","13993.9678733181","14337.7612656781","15910.2407610681","17121.4330229837","18666.2039621891","20900.1821884633","23018.2520493207","23384.6189103617","23725.4215310038","23951.1311942379","25260.9130422879","25885.0612798063","26990.3051640556","28233.1121377281","29340.8423057402","30299.0558748519","30928.4499617962","32453.0054551357","34664.7122812531","35380.1978096738","35978.1293336166","38409.2278470205","42184.6128646049","45086.6257155074","46968.1145337076","47975.3705349983","48665.2313510822","47302.0481458244","48556.0321017879","50245.5539801821","52604.3233290903","53838.7871251827","55478.5969488642","55812.5951453541","55837.1361601927","57420.5797626619","61242.4381334363","",
"Namibia","NAM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","1980","1840","1670","1320","1340","1600","1690","1850","1990","2150","2300","2210","2270","2460","2510","2510","2370","2240","2260","2100","2010","2290","2890","3530","4040","4210","4310","4260","4510","5160","5690","6020","5990","5550","4980","4800","5220","",
"New Caledonia","NCL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","1830","2160","2520","3220","3420","3780","3990","5270","6400","6440","6580","6980","6900","7980","7940","7160","5920","5480","5510","6170","8070","13270","14530","14760","15200","16070","16340","16780","18220","18240","17810","15730","14810","14020","","","","","","","","","","","","","","","","","","","",
"Niger","NER","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","150","160","160","170","170","170","160","150","150","160","150","160","210","230","220","230","280","350","410","400","350","290","210","220","250","270","330","320","300","290","280","230","200","180","190","190","190","180","170","170","160","190","210","250","260","270","320","330","350","360","380","400","410","390","370","360","390","",
"Nigeria","NGA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","100","110","110","110","110","100","100","120","170","180","200","220","340","400","510","560","560","640","760","970","1260","1450","1130","970","790","710","680","550","560","510","510","360","310","310","390","440","440","460","470","530","630","710","870","1030","1350","1610","1960","2040","2140","2190","2460","2720","2990","2880","2470","2100","1960","",
"Nicaragua","NIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","140","150","160","200","230","290","290","310","310","320","330","380","510","570","600","680","650","500","600","660","680","680","700","690","750","860","680","360","310","220","240","290","450","610","880","880","880","930","960","970","960","1000","1080","1160","1200","1290","1390","1380","1460","1570","1690","1780","1850","1910","2000","2090","2030","",
"Netherlands","NLD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1220","1310","1460","1700","1840","2000","2230","2550","2890","3290","3850","5070","6370","7630","8350","9100","10460","12760","14830","14000","12350","11070","10730","10330","11690","14720","18570","19540","20320","21280","23520","24040","25370","27690","29750","29800","28260","28670","28810","27390","27020","30950","37280","42050","45910","49110","52670","53670","53900","54480","52930","52950","51980","49810","46900","47110","51260","",
"Norway","NOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1610","1710","1860","2050","2240","2470","2630","2850","3120","3570","4230","5320","6750","8380","9150","9960","11110","13110","15650","16420","15750","14940","15150","15710","17550","20830","23970","25080","26510","27830","30790","30220","30860","32700","35800","37920","36110","35550","36570","38250","39880","44750","54110","63790","69990","78500","87520","87910","88560","90420","99220","104330","104560","93110","81810","76210","80610","",
"Nepal","NPL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","50","50","50","50","70","80","70","70","70","70","80","80","100","110","120","120","120","130","140","160","150","140","160","160","170","180","200","210","210","210","200","190","200","200","210","220","210","220","230","240","240","260","280","310","340","370","430","480","540","610","700","750","770","780","770","860","970","",
"Nauru","NRU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4620","5810","6760","9190","13330","14730","11830","10730","10820","12060","",
"New Zealand","NZL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3000","3990","4930","4970","4650","4550","5230","6530","7670","8240","7860","7370","7010","6950","7840","10000","12550","13570","13640","12160","12050","12360","13400","15280","16730","17160","15780","15040","14080","13810","14170","16970","21500","25440","26400","28160","28670","29700","29690","32260","36720","39900","41650","40600","39410","38470","40640","",
"OECD members","OED","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1481.57472233968","1570.05698094397","1687.98702896632","1828.20475154797","1990.3565737713","2114.99315195722","2317.23823180616","2514.94434212733","2661.04009707443","2901.75666756931","3323.03395711012","4060.41361693883","4742.14389210884","5299.06292447439","5597.45709191547","5980.41564975342","6809.09588669951","8139.1905295549","9383.86583546885","9760.75337017528","9267.21229948179","8867.48305326547","9179.43125642548","9607.79586501959","10775.4109884034","12901.4182030226","15673.2122256653","16513.6587856175","17287.2246424027","17963.950313197","19478.4379954197","19936.0812978987","20918.2127101079","22218.2750653402","23211.146696863","23296.3994607292","22489.3695682766","22794.8174458495","23784.6362594642","23758.936287823","23624.5694677423","25429.1255507052","29000.3123256348","31943.8092133141","33515.4673698985","34794.2389079451","36207.2331674587","35528.2162687968","36466.5031027309","37645.2259435003","38800.6913835488","39438.8360188645","39546.5771636041","38420.5097094606","37520.4474560584","37662.6136497943","40095.1568929524","",
"Oman","OMN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","160","230","280","320","330","360","310","700","1510","2770","2720","2650","3070","3960","5480","6210","6160","6320","6560","5930","5390","5210","5660","5710","6040","6510","6280","6160","6270","6470","6810","6490","6380","7070","7920","7960","8250","9380","10620","11510","14490","17430","17740","18170","16930","19370","20320","19170","17850","16100","14590","15140","",
"Other small states","OSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4227.19848514437","4721.16536733247","5711.0213196499","6859.58803003916","8305.52601797819","9780.33965104239","11155.055689333","11025.9469473992","11507.2248186248","12471.4896392826","13829.5213932874","14886.5612352968","15069.7002442066","14101.463495117","12991.0126545054","12469.0032312483","13325.9240844934","",
"Pakistan","PAK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","100","120","130","140","150","160","180","180","180","160","150","160","190","220","260","300","350","390","400","390","380","380","370","400","430","420","420","420","440","450","450","480","500","490","460","450","480","480","500","540","620","700","790","870","970","1010","1030","1090","1200","1290","1320","1360","1420","1500","1590","",
"Panama","PAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","490","530","550","590","630","670","710","770","810","890","960","1090","1220","1370","1350","1360","1570","1760","2200","2410","2590","2530","2530","2820","2860","3280","2740","2570","2660","2730","3020","3260","3440","3470","3560","3600","3690","3760","3910","3840","3970","4110","4510","4840","5160","5700","6510","6800","7150","8510","9560","10510","11040","11740","12390","13260","14370","",
"Peru","PER","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","290","300","340","380","450","490","470","480","500","560","630","740","930","1080","1070","1020","870","910","1020","1170","1130","920","890","840","840","950","790","790","840","1220","1420","1550","1760","1950","2150","2280","2150","2030","1970","1900","1960","2080","2280","2540","2810","3210","3790","3970","4410","4970","5790","6420","6530","6340","6110","6060","6470","",
"Philippines","PHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","220","190","170","180","200","210","220","240","220","220","220","260","320","380","420","450","500","590","700","750","740","680","570","520","540","600","660","700","720","730","770","820","920","1020","1160","1230","1200","1180","1220","1220","1180","1220","1340","1430","1540","1770","2060","2260","2460","2610","2970","3290","3450","3510","3570","3650","3830","",
"Palau","PLW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9180","8820","9420","10570","10760","11660","11640","11200","11430","12140","12590","12830","14020","16180","16870","16400","17280","",
"Papua New Guinea","PNG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","110","120","120","140","150","160","180","200","220","240","270","350","440","490","470","470","570","640","710","720","650","610","600","610","640","690","790","800","740","790","840","980","1030","950","930","850","720","630","570","510","480","470","540","650","790","1070","1400","1510","1740","1820","2270","2500","2990","2910","2700","2570","2570","",
"Poland","POL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4230","4350","4430","4660","4700","4890","5490","6260","7340","8460","9940","11990","12510","12730","12900","13220","13480","13640","13320","12710","12730","14100","",
"Pre-demographic dividend","PRE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","403.302001461707","432.915196389901","458.909475467752","450.391674616688","390.190521033324","370.70813140867","366.018799396069","391.105018629065","404.525499615727","383.315354782126","465.984763376462","443.898547590427","410.603698938286","351.201784309308","316.022761376752","326.295918629333","352.062825614906","378.686680296659","377.905448694138","380.138311755939","381.67438358756","394.907587115522","432.410829333823","475.498180463982","570.716820598527","667.314888765114","804.898643213919","953.064172572151","1161.56346815286","1238.31099373892","1303.23136422292","1349.99045663559","1527.19663965365","1642.42217843041","1754.0368711546","1667.57913485689","1523.96598828273","1404.13232721482","1373.10165210099","",
"Puerto Rico","PRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","820","900","960","1060","1160","1240","1370","1560","1750","1910","2100","2380","2590","2660","2650","2740","2980","3390","3720","3890","3770","3670","3970","4280","4750","5350","5860","6050","5950","6300","6760","7100","7370","7820","8130","8510","8690","9590","10550","10950","11250","12170","14260","14750","15030","15860","16360","16580","16920","17670","18680","19170","19280","19420","19710","20200","21100","",
"Korea, Dem. People’s Rep.","PRK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","410","430","470","520","570","640","730","790","950","1070","1270","1700","2070","2210","2330","2430","2530","2870","3350","3420","3230","2830","2520","2530","3080","4160","5630","6320","7130","8180","9860","10100","10450","11210","12100","12370","12190","12260","12170","11830","11750","13260","16140","18580","19390","20850","22590","22920","22960","22720","21150","21370","21190","20440","19930","20040","21990","",
"Paraguay","PRY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1680","1840","1840","1730","1600","1440","1410","1330","1230","1350","1520","1840","2320","3080","3450","4070","4480","4760","5510","5780","5620","5390","5390","5670","",
"West Bank and Gaza","PSE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1630","1780","1800","1550","1370","1190","1370","1510","1660","1570","1700","1900","2080","2330","2720","3020","3190","3270","3380","3460","3520","3710","",
